AWC,CTC,CVC,SUBJECT,Time
25.1785714285714,0.535714285714286,0.535714285714286,311,11.5
97.2,1.2,1.4,311,11.55
65.8,1.4,2,311,12
63.4,2.8,5.4,311,12.05
73.2,3.4,5.2,311,12.1
64.8,2.6,3.8,311,12.15
73.4,1.6,3,311,12.2
48.8,2.6,3.4,311,12.25
31.8,2.4,7.2,311,12.3
13,1.2,2.8,311,12.35
29.2,1,5.4,311,12.4
51,2.2,3,311,12.45
22,0.6,5,311,12.5
30.6,1,2.4,311,12.55
15.2,0.4,0.4,311,13
48.6,1.6,1.8,311,13.15
37.4,2.4,3.2,311,13.2
19,1.2,1.4,311,13.25
9,0.4,2,311,13.3
36,1.8,3.2,311,13.4
8.4,0.8,3,311,13.45
4.6,0.2,2.8,311,13.5
1.4,0.2,3.8,311,13.55
7.6,0.4,3,311,14
14.6,2,5,311,14.15
22.6,2,5,311,14.55
58.8,2.2,4.6,311,15
2,0.2,1,311,17.05
8.8,1,4.4,311,17.1
59.6,1.8,4.6,311,17.15
22.8,1.4,3.2,311,17.35
27.4,1.8,9.4,311,17.4
63.2,2.2,3.4,311,17.45
33.6,2.2,2.8,311,18.45
3.8,0,0.2,311,18.55
7.4,0.2,1.2,311,19.2
7,0,1,311,19.25
4.6,0,2.4,311,19.35
7.6,0.6,1.6,311,19.45
15.8,1.6,4.8,311,19.5
7,0.4,3.2,311,20
3.6,0.4,0.8,311,20.1
29.8,1.6,5,311,20.15
66.6,2,2.6,311,20.2
2.4,0.2,2,311,20.25
11.8,0.4,0.4,311,20.4
13.8,1.2,2.8,311,20.45
42,2,3.8,311,20.55
84,2.8,4,311,21.05
55.8,2.8,5.2,311,21.2
6.8,0.2,3.2,311,21.25
6.2,0.2,3.4,311,21.3
9,0.6,3.6,311,21.35
10,0.2,1.2,311,21.45
6,0.2,1.2,311,21.55
14.8,1.2,4.2,311,22
20.6,0.8,3,311,22.05
23.6,1.6,4.8,311,22.25
27.8,1,3.4,311,22.3
22.8054298642534,1.90045248868778,9.23076923076923,311,22.35
