AWC,CTC,CVC,SUBJECT,Time
39.1139240506329,3.0379746835443,10.253164556962,190,10.55
30,1.6,7,190,11
39.2,3,16,190,11.05
41.2,2.2,6.8,190,11.25
15.2,0.8,4,190,11.3
46.6,2,6.2,190,11.35
60.4,3.6,6.4,190,11.4
51.4,0.6,1.4,190,11.45
33.6,2.6,9.8,190,11.5
10.8,0.4,1.4,190,12.1
1.6,0.2,1,190,12.2
18,0.8,1.4,190,12.25
13.2,0.4,0.2,190,12.3
17.2,0.4,2.4,190,12.4
29.2,1,1,190,12.45
12.2,0.2,1,190,12.5
13,0.4,1.2,190,12.55
24.2,0.4,0.6,190,13
21.8,1,2.2,190,13.15
3.4,0.2,2.4,190,13.2
17.6,0.6,2.2,190,14.1
7.4,0,0,190,14.2
37.6681614349776,1.88340807174888,2.152466367713,190,12.15
8.2,0.2,2.4,190,12.2
16.8,1,3.2,190,12.25
38.6,1.8,4.8,190,12.3
19,1.2,2.8,190,12.35
4.2,0.4,0.6,190,12.4
7.4,0.4,1.8,190,12.45
6.4,0.4,2,190,12.5
36,0.6,1,190,13.1
28.4,1.4,5.4,190,13.15
19.8,1.4,8,190,13.2
10.6,0.4,6.8,190,13.25
1.4,0.4,8.6,190,13.3
28,1.4,7.8,190,13.35
31.8,1.8,8.6,190,13.4
11,0.6,2.2,190,13.45
18.8,1.4,7.8,190,13.5
5,0.4,4.6,190,13.55
10,0.8,1.4,190,14
13.4,1,3.4,190,14.05
14,0.8,9.6,190,14.1
4.6,0,0,190,14.2
46.6,2.2,5.6,190,14.35
59.4,2.6,6.8,190,14.4
14.6,1,6.4,190,15.05
15.4,1.6,9.4,190,15.1
16,1,6,190,15.15
22,0.6,2.6,190,15.2
9.6,0,3,190,15.25
10.8,0.6,3,190,15.3
29.6,0.6,3,190,15.35
37.8,1.2,2.8,190,15.4
3.8,0.6,7,190,15.45
26.4,1.6,13.8,190,15.5
4,0.2,5.2,190,15.55
49.2105263157895,2.89473684210526,8.68421052631579,190,18
19.2,1.4,3.6,190,18.1
30.8,1,2.8,190,18.15
10.4,0.8,5.4,190,18.2
7,0.8,3.8,190,18.25
28.2,1,4.4,190,18.3
9.4,0.8,3.8,190,18.35
5.8,0.8,11.2,190,18.4
28,2.2,9,190,18.45
22,1.6,7,190,18.5
46.6,2.8,8,190,18.55
21.2,0,0.2,190,19.15
62,1,1.8,190,19.25
30.8,0.8,2.2,190,19.45
3.6,0,7.4,190,19.5
5.2,0.6,7.8,190,19.55
11.2,0,2.6,190,20
17.6,1.6,5.6,190,20.05
43.8,2.2,5.4,190,20.15
26.8,0.6,1,190,20.2
20,1.6,12.4,190,20.3
91.6363636363636,1.09090909090909,1.09090909090909,190,20.35
