AWC,CTC,CVC,SUBJECT,Time
5.2,0.4,2.4,193,7.3
1.6,0,1.8,193,7.35
0.8,0.2,9.8,193,7.4
7.2,0.8,8.8,193,7.45
1.8,0.2,9.4,193,7.5
4.2,0.6,6.2,193,7.55
5.8,0.4,2.4,193,8
7.2,0.8,5.8,193,8.05
28.2,0.4,2.2,193,8.1
34.4,2.2,3.4,193,8.15
5.8,0.6,1.6,193,8.2
2,0,1.2,193,8.25
2.2,0,0.2,193,8.3
0,0,3.6,193,8.35
0,0,2.8,193,8.4
5,0.4,1.4,193,8.45
3,0.4,2.2,193,8.5
0.8,0,3.2,193,8.55
2.6,0,0,193,9
12.4,0.4,0.6,193,9.05
10.6,0.4,1,193,9.1
5.4,0,0.2,193,9.15
13.2,0.6,2.6,193,9.2
24.6,0.6,1.4,193,9.3
24.2,0.4,0.4,193,9.35
8.8,0.2,1,193,9.4
35.6,0.4,1.2,193,9.5
3.6,0,0.8,193,9.55
10.8,0.8,2,193,10.1
6.8,0.4,1,193,10.15
5.2,0.6,1.4,193,10.2
33.2,0.6,2,193,10.25
5.8,0,0.2,193,10.3
17.4,0.8,1.2,193,10.35
12.6,1,2.8,193,10.4
5.2,0,0,193,10.45
57,1.4,5,193,10.5
13.8,0.8,3,193,10.55
11.6,1.4,2.2,193,11
7.2,0.4,1,193,11.05
1.4,0,1.4,193,11.1
2.8,0,1.6,193,11.15
10.6711409395973,0.201342281879195,0.604026845637584,193,13.25
0,0,7.6,193,13.3
2.4,0.2,0.8,193,13.35
4.2,0.2,1.2,193,13.4
5.6,0.2,5,193,13.45
7.8,0.2,2.8,193,13.5
1.2,0,2.4,193,13.55
3.6,0,3.2,193,14
0,0,1.2,193,14.05
10.8,0,0.6,193,14.1
7.8,0.4,3.6,193,14.15
1.2,0,1.6,193,14.2
0,0,0.8,193,14.25
3,0,0.8,193,14.3
8,0,0.4,193,14.4
18.6,0.4,2.8,193,15.05
6.2,0.2,1,193,15.15
15,0.4,3.6,193,15.25
2,0.2,4.2,193,15.3
1.6,0.2,4.4,193,15.35
0,0,3.4,193,15.4
0,0,0.6,193,15.45
9.2,0.4,1.6,193,15.55
2.2,0,1.4,193,16
3.6,0.6,3.4,193,16.1
0,0,2.8,193,16.15
1,0.2,8.8,193,16.2
1.8,0.4,10,193,16.25
0.2,0,1,193,16.3
0.4,0,2.2,193,16.4
0,0,0.8,193,16.45
2.4,0.2,3.2,193,16.5
0,0,4.4,193,16.55
0,0,2,193,17
0,0,0.8,193,17.05
4.4,0.2,2.8,193,17.1
2.4,0.2,3.4,193,17.15
6.4,0,5,193,17.2
2.4,0.2,1.8,193,17.25
2.2,0.4,1.4,193,17.3
6.2,0.2,0.8,193,17.35
0,0,1.8,193,17.4
1.8,0,0.2,193,17.45
5.6,0.4,2,193,17.5
4.8,0,0.8,193,18
10,0,0,193,8.4
12.2,0.6,2.2,193,8.45
0.4,0,5.4,193,8.5
3.6,0.8,3.2,193,8.55
1,0.2,1.6,193,9
1.2,0,3.2,193,9.05
3.8,0,1,193,9.1
1.6,0,3.8,193,9.15
6.6,0.2,0.4,193,9.2
4.4,0,0.2,193,9.25
1.4,0,0.4,193,9.3
0,0,0.4,193,9.35
1.4,0,1.4,193,9.4
1,0.2,1.6,193,9.45
7.4,0,1.8,193,9.5
1.4,0,0.4,193,9.55
2.4,0.2,1.2,193,10
1.4,0,3.4,193,10.05
5.6,0.2,1,193,10.1
8.4,0.2,1.4,193,10.15
2.2,0.4,2,193,10.2
4,0.4,4,193,10.25
1,0,0.6,193,10.4
2,0.2,0.6,193,10.5
5.2,0.4,2,193,10.55
13.2,1,3,193,11.05
5.8,0.2,0.6,193,11.15
5.8,0.2,2.2,193,11.2
6.6,0.6,2,193,11.25
0.6,0.2,1.4,193,11.3
3,0.2,3,193,11.35
0.2,0,3.4,193,11.4
0.4,0.2,2.6,193,11.5
5.2,0,1.8,193,11.55
16.8,1,3.2,193,12
0.6,0,1.8,193,12.05
1,0,2,193,12.15
2.4,0.4,11.2,193,13.15
5.8,0.8,3.4,193,13.35
21.6,1.8,3.2,193,13.4
6.2,0.6,2.2,193,13.45
11.6,0.4,1.2,193,13.5
4.2,0.4,4.2,193,13.55
2.2,0,2.6,193,14
2.8,0.2,2.8,193,14.05
9.4,0,0.6,193,14.1
0,0,0.6,193,14.2
1.2,0,1.6,193,14.25
1.2,0,0.2,193,14.3
7.8,0.4,1.6,193,14.35
2.2,0.2,2.2,193,14.5
3.2,0,1.8,193,14.55
5,0.2,1.4,193,15
1,0.2,2.4,193,15.05
2,0,1.8,193,15.1
2.2,0,1.4,193,15.15
0,0,0.4,193,15.4
11,0.4,2,193,15.45
5.6,0.4,2,193,15.55
8.63636363636363,0,5,193,16
