AWC,CTC,CVC,SUBJECT,Time
9.2,1.2,8.6,300,7.4
1.4,0.4,2.8,300,7.45
14.2,2.2,8.4,300,7.55
9,0.8,2.8,300,8
52.2,5.6,12.2,300,8.05
31.8,2.8,11.8,300,8.1
23.8,2.2,5.2,300,8.15
14.2,1.6,4.4,300,8.2
46.6,3,4,300,8.25
25,2,7,300,8.3
35.2,2.6,5.6,300,8.35
88.6,5,10,300,8.4
20,0,0,300,8.45
30.2,2.4,6.8,300,8.5
19.4,0.6,1.4,300,8.55
23.8,0.6,0.8,300,9
30,1.8,4.4,300,9.05
18.4,1,4.6,300,9.1
0.6,0,1,300,9.2
12.8,0.6,2,300,9.25
18.6,1.2,4.2,300,9.3
19,0.8,7.2,300,10.35
22.2,2.2,7.4,300,10.4
19.8,1.4,2.2,300,10.45
7.4,0.6,4.4,300,10.5
6.8,0.4,1.4,300,10.55
9.2,0.2,0.6,300,11.25
8.2,0.6,1,300,11.5
1.6,0.2,1.6,300,11.55
34.4,1.4,3.2,300,12
4.4,0.4,4.8,300,12.05
12.4,0.8,5.2,300,12.1
2.6,0.4,3.6,300,12.35
6.4,1,5.6,300,12.4
7.6,0.4,2.6,300,12.45
22.4,2.4,5.4,300,12.5
9.2,1,6.4,300,12.55
2.4,0,0,300,13
22.2,0.6,0.8,300,13.05
10,0,0.2,300,13.45
9.4,0.2,3,300,13.5
23,1.8,3.4,300,14.2
16.4,1.4,3.8,300,14.4
38.8,2.4,8.2,300,14.45
25.2,0.6,3,300,14.5
18.8,0.8,2.8,300,14.55
29,2.4,4.8,300,15
21.4,1,3.2,300,15.05
14.4,1.4,5.2,300,15.15
8.88888888888889,0,0,300,16.2
29,1.6,5.4,300,16.35
71.6,3.6,8,300,16.4
65,1.8,3.4,300,16.45
39.2,1.6,3.4,300,16.5
26.8,1.8,9.2,300,16.55
45.6,2.2,10.2,300,17
56.2,3.2,12.2,300,17.05
65.6,4.8,15.6,300,17.1
22.6,2.4,6.2,300,17.45
9.6,1,2.6,300,17.5
6.2,0,2.8,300,17.55
32.4,1.6,3.6,300,18
13.6,0.6,3.8,300,18.05
8,0.2,2,300,18.1
20.8,1,5.8,300,18.15
20,1.4,3,300,18.2
5.8,0,0.6,300,18.25
12.2,0.6,2,300,18.5
55.2,3.2,7.4,300,19.1
