AWC,CTC,CVC,SUBJECT,Time
35.8974358974359,1.79487179487179,4.1025641025641,427,7.5
55.8,2.8,4.2,427,7.55
43.8,1.2,1.8,427,8
77.6,2.6,3.6,427,8.05
59.6,1.8,5.2,427,8.2
109.6,2,3,427,8.25
94,1.8,3,427,8.3
102.6,1,1.6,427,8.35
76.4,1.8,4,427,8.4
97.2,4,5.2,427,8.45
66,2,5.6,427,8.5
33.8,0,0.4,427,8.55
33.8,0.4,1,427,9
9.6,0.6,1.4,427,9.1
15.6,0.4,2,427,9.15
18.6,0.4,2.4,427,9.25
52.4,1,3.6,427,9.35
64.8,4.6,9.8,427,9.4
32,1.6,10.6,427,9.5
105.2,2.4,5.6,427,9.55
41,2,4,427,10
1.6,0.2,1,427,10.25
4.4,0,0.6,427,10.3
98.4,5,10,427,10.45
55.8,3.4,8.6,427,10.5
148,5,11.6,427,11
84.2,5.6,16.8,427,11.05
107.8,3.4,9.2,427,11.1
53.4,3.2,6.8,427,12.1
5.8,0.2,0.8,427,12.2
5.4,0.2,0.6,427,12.25
7.4,0.2,0.4,427,12.3
31.2,1,2.2,427,12.35
30.2,0.8,2.8,427,12.4
10.4,0.2,2.4,427,12.45
29,1.2,2.8,427,12.5
16.2,0.6,4.4,427,12.55
12.2,0.4,5,427,13.05
21,0.4,3,427,13.1
3,0,0.8,427,13.15
57.4,3,7.4,427,13.2
34.4,1,1.6,427,13.25
68,2,3.8,427,13.3
39.4,2.6,8,427,13.35
36.2,2.4,16.4,427,13.4
87.4,5,15.8,427,13.45
112.4,6.4,11.8,427,13.5
65,3.4,10.6,427,13.55
56.6,3.4,10,427,14
37.4,2.8,4.8,427,14.05
28.8,0.8,3.2,427,14.1
37.4,0.8,1.6,427,14.15
11.8,0.2,1.4,427,14.2
62,1,1.8,427,14.25
55.2,0.6,2,427,14.3
86.6,1.8,3,427,14.35
53.4,2.6,4.8,427,14.4
86,2.4,4.8,427,14.45
68.0898876404494,2.02247191011236,3.37078651685393,427,14.5
