AWC,CTC,CVC,SUBJECT,Time
69,3.6,8.2,304,9.15
36.4,2.6,7.4,304,9.2
37,3.6,8.8,304,9.25
37,2.8,4.2,304,9.3
40.2,4.8,7.6,304,9.35
31.6,3.2,9.8,304,9.4
36.2,3.8,9.4,304,9.45
40.2,3.2,6.2,304,9.5
33,3,5.8,304,9.55
22.8,2.4,11,304,10
23,1.6,6.4,304,10.05
65,5.4,8.4,304,10.1
67.6,4.4,8.6,304,10.15
68.2,3.4,4.2,304,10.2
85.8,3,4.2,304,10.25
31.2,2.6,7.4,304,10.3
47.8,4.8,10.4,304,10.35
32.2,3.6,11.8,304,10.4
30.6,3.8,12.4,304,10.45
58.6,3.8,9.4,304,10.5
33.4,2.8,7.6,304,10.55
37.2,2.6,6.8,304,11
72,2,3.4,304,11.05
66.6,0.4,0.4,304,11.15
88,0,0,304,11.2
48.4,0,1,304,11.25
23.4,1,1.6,304,12.15
35.4,3,6.4,304,12.25
3.8,0.6,6.6,304,12.3
23.2,1.8,6,304,12.35
26,2,6.2,304,12.4
19.6,0.4,2.6,304,12.45
8.4,1,5.6,304,12.5
6.8,0.2,2.4,304,12.55
10.8,0.4,1.8,304,13.05
5.8,0.2,0.6,304,13.1
15.2,1.2,3.8,304,13.15
26.2,1.8,5.4,304,13.2
6.4,0.6,3.8,304,13.3
5.4,0.8,2.2,304,13.35
26.4,2.6,4.6,304,13.4
31.8,1.6,3.2,304,13.55
30.8,2.6,8,304,14.05
38,2.6,8.6,304,14.1
36.4,3.6,8.6,304,14.15
7.2,0.2,7.2,304,14.2
33.2,3.8,11.8,304,14.25
9.6,1,7.4,304,14.3
16.8,0.4,1.6,304,14.35
8.8,0.8,4,304,14.4
13.6,0.6,4.6,304,14.45
12.4,0.6,6,304,15.05
2.8,0.4,2,304,15.25
12,1.4,5.8,304,15.35
34.8,1.4,5.2,304,15.45
10.2,1,4.8,304,15.5
17.2,1.2,6.2,304,16
14.4,1.8,9.2,304,16.05
42.3396226415094,3.62264150943396,10.6415094339623,304,16.1
