AWC,CTC,CVC,SUBJECT,Time
22,1,1.6,433,8.5
26.6,1.4,2.6,433,8.55
33.4,1.4,3.6,433,9
2.8,0.4,2.2,433,9.2
6.4,0.6,2.8,433,9.25
12.2,0.2,1.2,433,9.45
6.8,0.4,1.6,433,9.5
48.8,1.8,3.8,433,9.55
37.2,0.8,0.8,433,10
56.6,2.4,3.2,433,10.05
35,1.6,3.4,433,10.1
21.8,1.4,4.4,433,10.15
14,0.4,1,433,10.2
31,1.4,2,433,10.25
64,1.8,2.6,433,10.3
73.8,2.4,2.8,433,10.35
59.6,3,6,433,10.4
37.4,2.8,3.2,433,10.45
26.6,2.2,8,433,10.5
13,0.4,1.8,433,11
9.4,0.2,0.6,433,11.05
15.4,0.4,1.8,433,11.1
11,1,3.2,433,11.15
1.2,0.2,2.2,433,11.2
16.8,1.8,4.8,433,11.3
18.6,0.8,2,433,11.4
12.6,0.8,1.8,433,11.5
18.4,1,2.4,433,12
7.8,0.8,6.2,433,12.05
5,0.4,2.8,433,12.1
6.4,0.8,3.2,433,12.15
3.6,0.2,1.2,433,12.2
2.8,0.4,0.2,433,12.25
22.8,2,6.4,433,12.4
12.8,0.8,1.6,433,12.45
1.6,0,1.2,433,13
3.8,0.2,1,433,13.15
6.2,0.6,0.6,433,13.2
10.2,0.6,2,433,13.25
4.6,0.8,5.2,433,13.3
15,0.4,2,433,13.35
14.2,1,3,433,13.4
3.2,0.2,0.4,433,14.15
9.2,0.6,1.2,433,14.2
10.2,0.2,0.8,433,16.15
29,1.6,2.8,433,16.2
58.8,2,3.2,433,16.25
6,0.6,1.6,433,16.3
2.2,0.2,0.4,433,16.35
0,0,1.6,433,17
3.2,0,1.2,433,17.05
24.8,1.6,1.8,433,17.1
24.6,1.2,2.4,433,17.2
29.6,1,1.6,433,17.35
2.6,0,0.6,433,17.45
14.4,0.2,0.6,433,17.5
3.8,0.2,1,433,17.55
