AWC,CTC,CVC,SUBJECT,Time
11.1428571428571,0.857142857142857,2.57142857142857,338,10.45
4.8,0.4,0.6,338,10.5
18.8,1,3.4,338,10.55
20.4,1.2,3.8,338,11
33,4,11,338,11.05
42.8,4.4,14.4,338,11.1
34.8,5,16.2,338,11.15
34,3,10.4,338,11.2
89.2,1.8,7.6,338,11.25
74.2,5.4,12.4,338,11.3
63,5,14.2,338,11.35
28.4,2.2,8.8,338,11.4
54.8,3.2,9.8,338,11.45
13.6,1,4.8,338,11.5
9.2,1.6,8.4,338,11.55
17.8,0.8,4,338,12
30.2,0.8,4.2,338,12.05
20.8,1.6,9.2,338,12.1
29.2,2,9.4,338,12.15
10.2,1.2,10.4,338,12.2
13.4,1.8,14.8,338,12.25
33,2.4,8.2,338,12.3
24,1.4,5.8,338,12.35
3,0.2,3.2,338,12.4
3,0.4,3.6,338,12.45
20.8,0.6,1.6,338,12.5
17.4,2.4,3.8,338,12.55
11.8,2,7.4,338,13
81,2.4,4.4,338,13.05
86.6,4.2,5.4,338,13.1
10,0.2,0.6,338,13.15
12,0.2,0.2,338,13.2
44,1.2,2.8,338,13.25
40.8,0.2,0.4,338,13.3
60.4,3.8,8.8,338,13.35
21.4,2.8,13,338,13.4
5.2,0.4,3.6,338,13.45
8.2,0.8,9,338,13.5
11.4,1.4,11.8,338,13.55
20.2,1,3.6,338,14
46,2.4,4,338,14.05
43,3.8,13.2,338,14.1
6.8,0.8,8.6,338,14.2
3.4,0.6,4.8,338,14.25
1.6,0.2,1,338,14.3
3.6,0.6,7.4,338,14.35
16,2.4,13.2,338,14.4
14.2,1.4,7.8,338,14.45
26.2,1.2,4.8,338,14.5
35.2,2.6,14.6,338,14.55
7.2,0.2,0.4,338,15
11.8,0.6,1.8,338,15.25
33.4,2.4,6.2,338,15.4
55.8,3,5,338,15.45
32.6,2,5.2,338,15.5
37.4,3,5.2,338,15.55
104.4,4.4,6.2,338,16
25,1.2,3.2,338,16.05
11.4,0.8,4.8,338,16.1
13.6,1.2,2.6,338,16.15
24.8,2,6.4,338,16.2
30.2,2.4,6.4,338,16.25
29.8,1.6,5.2,338,16.3
42,2.4,8,338,16.35
31.2,1.4,5.2,338,16.4
23,1.4,3.4,338,16.45
43.6,3.8,10.6,338,16.5
7.2,0.8,2.2,338,16.55
28.6,1,3.2,338,17
23.6,0.8,1.8,338,17.05
9,1.4,4.2,338,17.1
6,0.4,1.2,338,17.15
19.4,0.6,1.4,338,17.2
78.2,5.6,15.2,338,17.25
42.8,2.8,15,338,17.3
30.6,2.8,8,338,17.35
11.2,0.8,4.2,338,17.4
24.4,0.6,2.6,338,17.45
15.6,1.4,4.8,338,18.5
47.6,3.8,8.2,338,19
6.2,0.4,2.6,338,19.1
2.2,0,0.6,338,19.5
8,1,3.6,338,20.05
13.6,0.8,1.2,338,20.15
41.2,5.2,19.8,338,9.5
6.6,0.8,11.2,338,9.55
3.2,0.6,14,338,10
7.6,0.6,5,338,10.05
16,0.8,10.2,338,10.1
13.2,1.4,6,338,10.15
13.8,1.2,8.2,338,10.25
43.4,2,4.8,338,10.3
2.4,0.2,1.6,338,11.1
