AWC,CTC,CVC,SUBJECT,Time
42.2,3,9,210,8.25
22.2,1,4.4,210,8.3
39,2.8,8.4,210,8.35
68.6,1.6,3.4,210,8.4
68.4,1.8,2.4,210,8.45
53,3.4,5.8,210,8.5
75.8,2.8,5.6,210,8.55
43.8,2.2,7.4,210,9
28.6,2.8,12,210,9.05
37.8,3.6,11.2,210,9.1
48,3.6,9,210,9.15
12.4,0.4,1,210,9.2
15.4,1.2,11,210,9.25
9.2,0.6,13.8,210,9.3
37.8,0.8,3.2,210,9.35
34.8,2.6,7,210,9.4
51.2,5.2,12,210,9.45
22.4,1.8,7.2,210,9.5
25.4,3,10.4,210,9.55
21,1.6,6.6,210,10
1.4,0,2.4,210,10.05
9.8,0.4,6.2,210,10.15
7.2,0.2,3.4,210,10.2
19.4,1.4,6.6,210,10.25
54.4,5,13.2,210,10.3
36.8,2.4,9,210,10.35
40.6,4.8,20,210,10.4
54.2,5.6,15.4,210,10.45
40.6,4,15.2,210,10.5
18.8,1.4,15.4,210,10.55
17.2,1.8,20.8,210,11
27.2,4.4,18,210,11.05
10.8,2.4,15.6,210,11.1
3.8,0.4,5.2,210,11.15
3,0,2.4,210,11.2
7.8,1.2,12.8,210,11.25
11.2,1.8,16.6,210,11.3
8,0.6,6.8,210,11.4
2.2,0.2,10.8,210,11.45
6.2,0.4,2.4,210,11.5
11.2,0.4,3.4,210,11.55
1.4,0.2,3.8,210,12
5.4,0.8,19.4,210,12.05
21.6,2.6,11.6,210,12.1
9,0.8,5.6,210,12.15
27.4,1.8,5.2,210,12.25
3.2,0.6,19.2,210,12.3
11,0.8,12,210,12.35
9.4,1,13,210,12.4
2.6,0.6,9,210,12.45
27.6,1.4,4.6,210,12.5
1.6,0.2,4.4,210,12.55
8.6,1.4,9.4,210,13
28.4,3.8,18.4,210,13.05
25.2,3.2,11.4,210,13.1
2,0,0.8,210,13.15
46.4,2.4,5.6,210,14.55
53,2.4,4,210,15
24.8,3.2,5.6,210,15.05
2,0.2,2.6,210,15.1
3.8,0,1,210,15.15
16.8,1.4,3.8,210,15.2
6,1.2,4.8,210,15.25
2.8,0.4,3.6,210,15.3
24.4,3.2,11.6,210,15.35
16.4,1.6,6,210,15.55
21.2,1.8,7.6,210,16
14,1.4,12.8,210,16.05
36.8,3.2,9.8,210,16.1
13.8,0.8,4.2,210,16.15
1.6,0.2,4,210,16.35
5.6,0.2,2.4,210,16.5
12.4,1.4,4.2,210,17
46,2,3.2,210,17.2
44.6,2.2,8.2,210,17.4
22.2,1.6,5.2,210,17.55
4.2,0.6,3.6,210,18
12.8,1.2,7,210,18.1
4.8,0.6,4.4,210,18.2
5.4,0.6,3,210,18.25
8.2,0.6,2.6,210,18.3
25.4,2.4,8.2,210,18.4
17.4,2,7,210,18.5
19.8,1.4,5.8,210,18.55
59.8,4.6,9.6,210,19.2
37.4,2.8,10.6,210,19.25
51,3.8,10.8,210,19.35
21,1.2,9.4,210,19.4
31.4,2.2,6.4,210,19.45
46.4,3,8.4,210,20.05
37.6,3.2,8,210,20.1
52.8,3.2,5.8,210,20.4
