AWC,CTC,CVC,SUBJECT,Time
12,1.4,4.4,440,10.45
14,1.2,3.6,440,10.5
2,0.2,6.4,440,10.55
2.6,0.2,2.8,440,11
10.8,0.4,1.6,440,11.05
16.2,0.8,1.6,440,11.1
8.2,1,6.6,440,11.15
12.4,0.4,2.4,440,11.2
32.4,1.6,3.8,440,11.25
23,1.6,4.4,440,11.3
38.8,0.4,2.4,440,11.45
16.4,1.4,5.2,440,11.5
1.8,0.2,2.6,440,11.55
66,2.4,4.8,440,12
44.2,1.6,3.4,440,12.05
42.4,1.8,2,440,12.1
15.2,0.6,1.8,440,12.15
21.8,1,2.8,440,12.2
20.8,1,1.6,440,12.25
14,2.6,9.8,440,12.3
36.6,0.8,1.6,440,12.45
22.8,0.4,1.2,440,12.5
13.2,0.4,4.8,440,12.55
90,3,3.2,440,13
32.4,0.8,3.2,440,13.15
17.4,1.2,2.6,440,13.2
7.8,1.6,4,440,13.25
2.6,0.4,1.8,440,13.3
2.8,0.4,0.6,440,13.4
20.6,1,2.2,440,13.45
12.6,0.6,2.2,440,13.5
4.4,0.8,2.4,440,13.55
6.4,0.8,2,440,14
3.6,0.2,6.2,440,14.1
1.8,0.2,10,440,14.15
12,2.6,9,440,14.2
9.4,2,10.6,440,14.25
12.6,1.8,10.8,440,14.3
14.6,1.2,7,440,14.35
4.4,0.4,4,440,14.4
8.4,0.6,5,440,14.45
19.4,2,8.4,440,14.5
17.2,1.4,4.6,440,14.55
9,0.2,1.4,440,15
2,0.2,5.6,440,15.05
