AWC,CTC,CVC,SUBJECT,Time
12,0,0,196,9.35
18.8,0.6,6.2,196,9.4
20.4,1,5,196,9.45
15,1,2.8,196,9.5
6.2,0.8,4.8,196,9.55
37.8,1.8,3.6,196,10.05
75.4,4.4,6.8,196,10.2
38.6,3.4,8,196,10.25
14.4,1.4,5.2,196,10.3
8.8,1,4.6,196,10.35
8.2,0.4,3.6,196,10.4
8.4,1,10.8,196,10.45
17.4,0.4,2.2,196,10.5
16.8,0.8,2,196,10.55
11.8,0.6,1.8,196,11
13.4,0.6,2.8,196,11.05
21.4,0.6,3.6,196,11.1
15.2,0.6,2.6,196,11.15
0.6,0.2,4.8,196,11.2
11.6,1,10.6,196,11.25
23.6,1.6,4.6,196,11.3
25.2,2.6,8,196,11.35
5.4,1.2,5,196,11.4
39,2.6,6.6,196,11.45
52.8,3,5.2,196,11.5
31.2,1.4,5.4,196,11.55
17.8,1.6,4.2,196,12
5.8,0.2,3,196,12.05
57.0422535211268,3.80281690140845,6.12676056338028,196,13.4
11,0,0.6,196,15.2
29.2,1.6,4.8,196,15.25
12,0.2,1,196,15.3
21.8,1.6,4.2,196,15.35
16.6,0.6,2.2,196,15.4
12.4,0.6,1.2,196,15.45
16,0.6,5.8,196,15.5
9,1,7.4,196,15.55
27.4,1.8,6,196,16
12.2,0.6,2,196,16.05
18.6,0.4,2.6,196,16.1
9,0.2,5,196,16.15
12.8,1,4,196,16.2
66.4,0.6,1.4,196,16.25
40.6,2,3.8,196,16.35
35.4,3,11.2,196,16.4
33.6,1.6,5.8,196,16.45
30,1.6,9,196,17
83.2,5.4,11.4,196,17.25
9.87951807228916,0.72289156626506,1.92771084337349,196,10.45
36.3636363636364,1.36363636363636,3.63636363636364,196,10.5
13.0147058823529,0.441176470588235,2.64705882352941,196,8.45
5.4,0.8,1.6,196,8.55
4.2,0.4,3.2,196,10.05
1.8,0,1.8,196,10.1
6.8,0.2,2,196,10.15
5.4,0.6,1.4,196,10.25
4,0,0,196,10.45
18.8,0,0.4,196,11.5
14.2,0.4,0.6,196,12.1
12,0.8,1.6,196,12.2
8.8,0,0.4,196,12.45
16.2,0.2,0.8,196,12.55
20.8,0.4,0.4,196,13
3.2,0.2,1.2,196,13.15
14,0.4,2.6,196,13.2
10.2,0.6,1.2,196,13.25
21.4,1,3.4,196,13.35
71.7857142857143,2.14285714285714,2.14285714285714,196,14.2
6.66666666666667,0.21505376344086,0.21505376344086,196,14.45
79.4,3,8.4,196,15.5
29,2.2,6.2,196,15.55
13.4,0.2,1.4,196,16
9.6,0.2,1.2,196,16.05
26,1.4,4.4,196,16.1
26.6,2.2,5.8,196,16.15
12.6,0.8,1.6,196,16.2
1.6,0.2,0.4,196,16.25
5.4,0,0,196,16.4
6,0,0.4,196,17.1
10.1960784313726,0.392156862745098,2.35294117647059,196,9.05
15,0.8,1.4,196,9.1
39.4,2.2,3.8,196,9.15
5.4,0.4,4,196,9.35
11.4,1.2,4.2,196,9.45
22.8,0.6,1.4,196,9.5
10,0.2,1.4,196,9.55
3.15789473684211,0.350877192982456,1.40350877192982,196,10
8.8,0,0.4,196,13.5
2,0.2,0.8,196,13.55
4.8,0,1.2,196,14.05
5,0.2,1,196,14.1
8,0.8,3,196,14.25
31.6,1.2,3.8,196,14.3
32.8,1.2,2.2,196,14.35
3.2,0.2,0.6,196,14.4
19.6363636363636,0,0,196,14.45
