AWC,CTC,CVC,SUBJECT,Time
50.8,3.4,5.6,11136,7.4
41.4,3.2,9.6,11136,7.45
42.4,4.6,10.4,11136,7.5
16.4,1.8,5.2,11136,7.55
16,1.4,6,11136,8.05
62.4,3.8,8.2,11136,8.1
44.8,0.2,0.4,11136,8.15
18.2,0,0,11136,8.2
71.4,0.4,0.6,11136,8.25
51.4,1,1.4,11136,8.3
100,1.4,1.6,11136,8.35
40.8,3,8,11136,8.4
0,0,1.2,11136,8.45
15.8,0.4,1.8,11136,8.5
33.4,3.4,7.2,11136,8.55
60.4,4,5.4,11136,9
24.2,2.8,7.4,11136,9.05
68.2,6.6,15,11136,9.1
92.2,7.6,13.2,11136,9.15
47.4,4.2,9.4,11136,9.2
26.8,2.8,7.8,11136,9.25
22.4,1.8,5.8,11136,9.3
53.6,5,10.4,11136,9.35
63.6,6,12.4,11136,9.4
40,4.6,14.8,11136,9.45
38.8,2.2,5,11136,9.5
30,2.6,6,11136,9.55
34.6,2,5,11136,10
3.8,0.4,1,11136,10.05
54.2,3.4,9.8,11136,10.1
34.6,1.6,5.8,11136,10.15
66.6,7.2,16.6,11136,10.2
44,4.4,12.2,11136,10.25
61.6,4.8,10.6,11136,10.3
14.4,1.8,7.2,11136,10.35
23.6,2.8,7.4,11136,10.4
43.8,3.8,6.6,11136,10.45
93.2,3.6,5.8,11136,10.5
122.8,4.4,5.4,11136,10.55
29.4,2.4,8.4,11136,13.45
32.8,2.2,4.4,11136,13.5
10,0.4,3.2,11136,13.55
28,1,3.6,11136,14
21.2,0.8,2,11136,14.05
97.6,1.8,2.6,11136,14.1
13.2,1,2.2,11136,14.15
32.8,2.6,7,11136,14.2
43.6,2.2,4.4,11136,14.45
33.2,2.2,8.6,11136,14.5
30.8,2.6,4.4,11136,14.55
20,0.6,1,11136,15
5.6,0.4,0.6,11136,15.35
1.4,0,0.8,11136,15.4
11.2,0.8,2.6,11136,15.45
18,2,5,11136,16
15.4,1.2,3.4,11136,16.05
20.6,0.4,1,11136,16.45
20.8,1.8,3.4,11136,16.5
2.2,0.2,0.8,11136,17.05
60.8,3.8,9.4,11136,17.1
54,2.6,6,11136,17.2
45.2,4.2,7.8,11136,17.25
43.6,5.4,11.8,11136,17.3
40.8,3.6,7.2,11136,17.35
25,3.4,11.8,11136,17.4
42.2,3.6,8.4,11136,17.45
47,5,10.8,11136,17.5
23.6,2.6,8.2,11136,18.05
35.8,2.4,3.4,11136,18.1
40.2,0,0.2,11136,18.15
38.4,0,0.2,11136,18.2
45.8,2,3,11136,18.25
86,3.8,4.2,11136,18.3
69.2,4.8,9.6,11136,18.35
83.4,4.2,7.4,11136,18.4
91.6,5.6,10,11136,18.45
80.8,3,4.2,11136,18.5
83.8,4.2,7.2,11136,18.55
50.6,3.4,7.8,11136,19
35.6,2,2,11136,19.05
