AWC,CTC,CVC,SUBJECT,Time
11.9457013574661,1.6289592760181,4.61538461538462,13081,6.4
72.2,2.2,5.4,13081,6.45
77.2,1.2,2.6,13081,6.5
69.4,1.4,1.6,13081,6.55
40.2,1,3.2,13081,7
47,2.2,3.6,13081,7.05
69.6,2,5,13081,7.1
53.8,2.4,6.6,13081,7.15
37.8,1.6,5.8,13081,7.2
43.6,3.8,10.8,13081,7.35
15.6,1,8.4,13081,7.4
11.4,1,9.2,13081,7.45
12.4,0.8,7.6,13081,7.5
6,0.6,6,13081,7.55
21.4,1,1.2,13081,8
28.6,1,3.2,13081,8.05
75,3.4,5.4,13081,8.15
101.2,6.6,8.6,13081,8.2
36.4,2,5.4,13081,8.25
70.6,2.8,3.6,13081,8.3
22.6,0.6,3.2,13081,8.35
12.6,0,0,13081,8.45
16.2,0.2,0.2,13081,10.1
10.4,0.2,1.2,13081,10.15
3,0.4,1,13081,10.2
35.6,1.8,4,13081,10.25
46.6,1.6,6.4,13081,10.3
122,1.4,2.4,13081,10.35
143.8,2.6,3.6,13081,10.4
64.8,2.8,7.8,13081,10.45
41.6,2.8,9.6,13081,10.5
19,0.8,3.2,13081,10.55
25,1.8,9.4,13081,11
18.6,1.2,6.8,13081,11.05
12,1.4,6.6,13081,11.1
40.2,1.8,5.6,13081,11.15
22.6,3,6.6,13081,11.2
2.6,0,1.4,13081,11.25
1.8,0.4,6.4,13081,11.35
5,1,13.8,13081,11.4
28.4,2.8,8.4,13081,11.45
10,1,3.8,13081,11.5
7.8,1,4,13081,11.55
1.6,0,0.4,13081,12
9.8,0.2,1,13081,12.05
14.6,0.8,3.4,13081,12.2
5.4,0.6,1.8,13081,12.25
37.8,0.6,0.6,13081,12.3
67.4,1.6,4.8,13081,12.35
48.4,1.4,3.6,13081,12.4
27,1,2.8,13081,12.45
12.2,0.8,1.4,13081,12.5
26,0.2,0.4,13081,12.55
2.6,0.2,3.4,13081,13
7.6,0.8,2.4,13081,13.05
8.8,1.2,6.8,13081,13.2
10.2,0.4,2.2,13081,13.45
22.8,1.8,4.2,13081,13.5
38.8,1.6,6.4,13081,13.55
56.4,3.2,9,13081,14.05
31.2,2.8,7.4,13081,14.1
55.4,2.8,9,13081,14.15
19.6,1.6,9.4,13081,14.2
24.6,1.8,7.8,13081,14.25
44.8,1.4,2,13081,14.3
10.6,0.4,0.8,13081,14.4
9.6,0,0.2,13081,16.25
10.8,0.4,0.8,13081,16.3
4.2,0.2,1.2,13081,16.35
6,0.6,3.4,13081,16.4
15.2,0.8,2.4,13081,16.45
0,0,0,13081,16.55
2.2,0,1.4,13081,17
1,0.4,11,13081,17.05
29.4,4,8.8,13081,17.15
61.4,8,12.8,13081,17.2
27.8,2.6,9.4,13081,17.25
27,2.8,9.4,13081,17.3
11,1.4,8,13081,17.35
33,1.2,4.6,13081,17.4
16,1.8,6.6,13081,17.45
8.2,1,8.8,13081,17.5
10.8,1.2,3.4,13081,17.55
16,0.8,4,13081,18
7.2,0.4,5.2,13081,18.05
20.4,1,5.2,13081,18.1
24.4,1,7,13081,18.2
39.6,3,9.4,13081,18.25
34,0.4,1.4,13081,18.35
52.6,2.6,6.6,13081,18.4
53.2,3.8,6.2,13081,18.45
68.2,1.8,3.2,13081,18.5
50.2,4,8.8,13081,18.55
36.2,0.8,1.2,13081,19.1
18.4,0,0,13081,19.2
8,0,0.2,13081,19.25
