AWC,CTC,CVC,SUBJECT,Time
29.6,0.4,1,13069,10.35
18.4,0.2,0.6,13069,10.4
14.6,0.2,0.8,13069,10.45
3,0.2,0.2,13069,10.5
5.2,0,0.4,13069,10.55
14,0.8,1.2,13069,11
13,0.6,1.2,13069,11.05
12.8,0.8,9,13069,11.1
1,0.2,0.8,13069,11.15
4,0.2,1.8,13069,11.2
8.6,0.4,3,13069,11.25
12.2,0.6,2.2,13069,11.3
9,0.4,0.6,13069,11.35
10.4,0.6,3.4,13069,12.4
4.6,0.4,2.4,13069,12.45
10.4,0.2,1.4,13069,12.5
6.2,0.2,2.6,13069,12.55
0,0,7,13069,13
4.4,0.2,4,13069,13.05
24.4,0.6,2.8,13069,13.1
22,1,2,13069,13.15
15.4,1,3.4,13069,13.2
6.2,0,0.8,13069,13.25
7,0.6,3,13069,13.3
10.2,1.2,6,13069,13.35
8,1,6.2,13069,13.4
9.8,1.6,8.4,13069,13.45
16.2,0.8,5,13069,13.5
15.6,1.6,14.8,13069,13.55
8,1,8.6,13069,14
2.8,0.4,8.4,13069,14.05
5.8,1.2,4,13069,14.1
3.2,0.2,1.4,13069,14.15
8.4,0.8,4.6,13069,14.2
14.4,0.8,3.6,13069,14.25
36.8,4.8,8.6,13069,14.3
112,3.6,4.6,13069,14.45
30.6,1.2,4.2,13069,14.5
36.4,2.2,3.8,13069,14.55
57.8,3.2,7.2,13069,15
25.2,1,2,13069,15.5
25.8,0.6,4.6,13069,16.45
37.8,1,2.2,13069,16.5
50.8,2.8,5.8,13069,17
42.6,1.4,3.4,13069,17.05
77,0.6,0.6,13069,17.15
59.2,0.4,1.2,13069,17.25
34.8,2,5.4,13069,17.35
33.4,1.4,7,13069,17.4
1.2,0,0.2,13069,18.1
19.2,0.8,1.2,13069,18.15
16.6,1.4,2.8,13069,18.35
24.4,1.4,3,13069,18.4
25.6,0.4,1.2,13069,18.5
11,0,1.8,13069,18.55
14.6,0.4,3.2,13069,19
5.6,0.2,0.8,13069,19.1
21.4,0.2,1,13069,19.15
25.2,0.2,0.8,13069,19.2
4.2,0.6,1,13069,19.3
17.2,1,2.6,13069,19.35
17.2,0.8,1.6,13069,19.4
14.8,0.8,2.6,13069,19.45
13.8,1,2.2,13069,19.5
11.8,0.4,4.4,13069,19.55
24,1.2,4.6,13069,20
19,1.2,2.8,13069,20.05
41.4,2,4.6,13069,20.1
34.4,2,4.8,13069,20.15
15.6,0.6,1.4,13069,20.2
15.6,0.6,3.8,13069,20.3
13.6,1.8,11.6,13069,20.35
23.6,0.8,2,13069,20.5
10.6,1,4.2,13069,20.55
16.4,1,6.4,13069,21
24.6,1.2,2.2,13069,21.05
11,0.4,0.6,13069,21.1
16.2,0.4,1.2,13069,21.15
13.4,0.4,2,13069,21.2
27.4,0.6,2.6,13069,21.25
29.2,1.2,2.8,13069,21.3
27.4,0.2,1.2,13069,21.35
7,0.6,5.2,13069,21.4
19,1.8,4,13069,21.45
29,1,3.4,13069,21.5
14.2,0.8,3.2,13069,21.55
15.6,1,5.8,13069,22
26.4,2.2,6,13069,22.05
36.4,1.2,2.6,13069,22.1
