AWC,CTC,CVC,SUBJECT,Time
18.6,2.6,8.8,11036,8.05
21.6,2.2,6.6,11036,8.1
58,4,8.8,11036,8.15
34.6,3.2,8.2,11036,8.2
14,0.8,6.4,11036,8.25
19,2,8.2,11036,8.3
22.8,2.4,10.6,11036,8.45
23.4,1.4,4.4,11036,8.5
75.2,2.8,7.4,11036,9.15
18,1.4,6,11036,9.2
14.6,1.6,5.6,11036,9.25
34.8,1.6,5.6,11036,10.3
55,1.6,5,11036,10.35
45.2,3,10,11036,10.55
47,3.6,10,11036,11
23.8,1.2,4.8,11036,11.05
1.4,0,0,11036,11.15
13.4,0.4,0.6,11036,11.2
30,3.6,12,11036,11.25
26,2.8,7.2,11036,11.3
78,4,4.6,11036,11.35
70.4,3,5.8,11036,11.4
55,4.8,9.8,11036,11.45
29.8,1.8,7.6,11036,11.5
32.2,2.2,4,11036,11.55
1.6,0,0,11036,13.5
17.8,1.2,3.2,11036,13.55
10.4,1,6.2,11036,14
39.4,4.6,13.4,11036,14.05
22.6,2.6,8.4,11036,14.1
36,3.2,7.2,11036,14.15
9.8,1.6,8,11036,14.2
11,0.8,6.2,11036,14.25
19.8,1.4,5.2,11036,14.3
18.2,1.8,6.2,11036,14.35
26,2.8,5.6,11036,14.4
24.2,1.8,6.6,11036,14.45
3.6,0.6,7,11036,14.5
15.8,2,7.2,11036,14.55
14.2,1,4.2,11036,15
26.2,3,10.8,11036,15.05
29.4,2.8,8.6,11036,15.1
38.6,3,8.8,11036,15.15
27,1.2,6.8,11036,15.2
12,1.8,10.8,11036,15.25
14.2,1.8,8.8,11036,15.3
3.6,0.6,4.4,11036,15.5
16,0.4,2.2,11036,16
35.4,2.8,9.4,11036,16.05
10.6,0.4,9.4,11036,16.1
25.2,2,11,11036,16.15
8.8,0,0,11036,16.3
14,2,9.8,11036,16.4
8.8,0.4,3.2,11036,16.45
10.8,0.8,6.4,11036,16.5
51.6,3.6,8,11036,16.55
51.2,3.4,10.6,11036,17
48.6,4,6.2,11036,17.05
65.8,3.4,6,11036,17.1
19.8,0.8,4.2,11036,17.15
23,2,4.6,11036,17.2
30.6,2.4,6.4,11036,17.25
19.2,1,10.8,11036,17.3
31,2.4,6.2,11036,17.35
39.6,4,8.8,11036,17.4
12.6,1.4,10.4,11036,17.45
44.4,1.2,7.2,11036,17.55
34.4,4.4,12.8,11036,18
10,1.2,9,11036,18.05
10.8,1.6,13.4,11036,18.1
6.2,1,7.6,11036,18.15
28.2,3.4,11.2,11036,18.2
29,3,7.8,11036,18.25
76.2,1.4,2.6,11036,18.5
33.6,2.6,5.4,11036,19
