AWC,CTC,CVC,SUBJECT,Time
3,0,0,12830,6.55
34.2,3.4,7.6,12830,7.05
10.8,0.4,1.2,12830,7.1
33.6,3.4,8.2,12830,7.15
54,3,5,12830,7.2
48.4,1.2,1.8,12830,7.25
33.8,0.6,0.6,12830,7.3
51.2,1.2,3,12830,7.35
35.8,1.6,4.2,12830,7.4
15.6,1,4.8,12830,7.45
46.4,1.4,2.2,12830,7.55
64,3.2,4.6,12830,8
38.6,2,3.6,12830,8.05
43.6,1.8,2.8,12830,8.1
31,1.2,1.8,12830,8.15
21.6,2.4,8.6,12830,8.2
71.8,3.6,7.2,12830,8.25
31.8,1.8,4.6,12830,8.3
32.6,1.4,4.6,12830,8.35
46.6,1.8,3.4,12830,8.4
33.4,1.8,3.8,12830,8.45
17.2,1.8,12.6,12830,8.5
13.6,0.2,5.4,12830,8.55
45.8,1.2,4,12830,9
43.2,2.4,5.8,12830,9.05
66.8,3,5.6,12830,9.1
37.6,1.6,4.4,12830,9.15
13,0.8,3.2,12830,9.2
20,0.4,1,12830,9.3
49,3.6,6,12830,9.35
50.2,2.4,4.6,12830,9.45
19.8,1,3.2,12830,9.5
3.8,0.2,2.6,12830,9.55
34.4,4,10.4,12830,10
56.8,2.4,4,12830,10.05
20,0,0.4,12830,10.1
2.6,0,0.2,12830,10.25
0,0,0.6,12830,10.35
1.4,0,0,12830,10.4
22.2,0.8,1.6,12830,10.55
1.2,0.2,0.8,12830,11.1
1,0,0.4,12830,11.15
5,0,0.6,12830,11.2
3.8,0.2,1.2,12830,11.3
5.6,0.4,1,12830,11.4
34.4,0.4,2,12830,11.45
2.8,0,0,12830,11.5
28.6,0.8,1.4,12830,11.55
19.6,0.6,1.4,12830,12
29.6,0.6,2.8,12830,12.05
2.2,0.2,3.6,12830,12.1
9.8,0.2,1.8,12830,12.15
27,1.8,4.6,12830,12.2
34.8,3.6,8.4,12830,12.25
34.4,2.4,6,12830,12.3
42.4,3.6,7,12830,12.35
34.2,2.8,10.2,12830,12.4
14.2,0.2,3.8,12830,12.45
18.2,0.4,1,12830,12.5
44.8,1.4,3.6,12830,14.2
33.4,2,3,12830,14.25
64.6,3,7,12830,14.3
70,3.2,5,12830,14.45
11,1,2.8,12830,14.5
18.2,2.4,9.2,12830,14.55
2.8,0.4,4.8,12830,15
24.6,0.6,2.6,12830,15.05
0.4,0.4,3.2,12830,15.1
3.2,0.2,3.4,12830,15.15
6.6,0.4,2.8,12830,15.2
2.6,0,0.8,12830,15.25
18.2,1,2.8,12830,15.3
37.2,1,3.6,12830,15.35
32.4,1.6,4,12830,15.4
22.4,2,4.4,12830,15.45
34.8,2,4.2,12830,15.5
6,0,0.4,12830,15.55
42.6,2.2,7,12830,16
39.4,2.2,4.8,12830,16.05
48.8,2,3.4,12830,16.1
55,0.6,0.8,12830,16.2
68.4,1.2,2.4,12830,16.25
22.6,0.4,0.6,12830,16.3
13.4,0.2,0.8,12830,16.35
19,0,0,12830,16.4
79.4,0.4,0.6,12830,16.45
46.6,0.4,0.4,12830,16.5
36,0,0.4,12830,16.55
42.6,0.2,0.2,12830,17
75.2,1,1.2,12830,17.05
28,0.8,1.4,12830,17.1
22.8,0.6,1.2,12830,17.25
37.2,0.2,2,12830,17.3
2.2,0,0,12830,17.45
