AWC,CTC,CVC,SUBJECT,Time
26.6,1.8,6.4,12095,10.25
9.4,0.4,0.6,12095,10.3
49.2,3.2,5.8,12095,10.45
9.6,0.6,1.6,12095,11
42.4,1.2,2,12095,11.05
18,0.8,1.6,12095,12.55
5.6,0,0,12095,13.05
1.2,0.2,0.8,12095,13.1
5,0.6,2.4,12095,13.15
13,0.4,1.2,12095,13.25
8.6,0.2,1.4,12095,13.35
17,1,2,12095,14.05
5.4,0.2,0.8,12095,14.1
16.8,0.2,1.4,12095,14.25
6.6,0.4,1.2,12095,14.3
2.6,0,1,12095,14.35
7.6,0.2,3.2,12095,14.4
21,0.6,2.4,12095,14.45
10.6,0.6,5.8,12095,14.55
2.8,0.4,2,12095,15
2,0.2,2.4,12095,15.05
1.4,0.2,1.4,12095,15.1
9,0.6,3.2,12095,15.2
3.4,0.4,1.4,12095,15.25
3.4,0.4,1.4,12095,15.3
10.2,0.2,2.6,12095,15.5
6.4,0.4,0.8,12095,15.55
42.6,1.6,4.6,12095,16.1
2,0,0.4,12095,16.2
3,0,0,12095,16.25
4.6,0,0.4,12095,16.4
2,0,1.2,12095,16.5
2.6,0.2,3.4,12095,16.55
4,0,1,12095,18
5,0,3.2,12095,18.05
19.2,0.8,1.2,12095,18.2
5,0.4,2.2,12095,18.25
6.8,0.4,1.2,12095,18.3
13.6,0,0.6,12095,18.4
23.6,0.4,1,12095,18.45
26.8,1.2,2.4,12095,18.5
20,1,5.2,12095,18.55
34.8,1.6,2.8,12095,20.05
31,0.4,0.6,12095,20.1
62.4,0.4,0.4,12095,20.15
12.8,0,0,12095,20.35
23,0,0,12095,20.45
