AWC,CTC,CVC,SUBJECT,Time
28.2,1.6,5.6,266,6.55
23.4,3.2,6.2,266,10
24,1.8,5.2,266,10.5
67,6.2,11.8,266,11.15
50,4.2,11.4,266,11.25
47,2.6,5,266,11.3
26.2,1.6,5,266,14
33.2,1.6,6.6,266,15
54,2.4,5.2,266,15.1
26.8,1.4,5.2,266,16.5
47.4,4.6,10.2,266,18.55
54.4,4.2,10.2,266,19.05
